problemName,vehicleFileID,cutoffTime,problemType,problemTypeString,numUAVs,numTrucks,requireTruckAtDepot,requireDriver,Etype,ITER,runString,numCustomers,timestamp,ofv,bestBound,totalTime,isOptimal,numUAVcust,numTruckCust,waitingTruck,waitingUAV
20170606T123246328134, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, /Users/raven/Documents/TU/MSc/Thesis/Code/mFSTSP/main.py,25, 2024-09-13 14:16:00, 5363.139432, -1.000000, 2.404456, False, 14, 11, 1300.717703, 2904.432218 
20170606T123246328134, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, /Users/raven/Documents/TU/MSc/Thesis/Code/mFSTSP/main.py,25, 2024-09-13 14:16:01, 5363.139432, -1.000000, 3.101162, False, 14, 11, 1300.717703, 2904.432218 
20170606T123246328134, 101, 30.000000, 2, mFSTSP Heuristic, 3, -1, True, True, 5, 1, /Users/raven/Documents/TU/MSc/Thesis/Code/mFSTSP/main.py,25, 2024-09-13 14:16:02, 5247.434641, -1.000000, 4.185012, False, 15, 10, 1349.999999, 4531.409993 
20170606T123246328134, 101, 30.000000, 2, mFSTSP Heuristic, 3, -1, True, True, 5, 1, /Users/raven/Documents/TU/MSc/Thesis/Code/mFSTSP/main.py,25, 2024-09-13 14:16:03, 5247.434641, -1.000000, 5.263502, False, 15, 10, 1349.999999, 4531.409993 
20170606T123246328134, 101, 30.000000, 2, mFSTSP Heuristic, 4, -1, True, True, 5, 1, /Users/raven/Documents/TU/MSc/Thesis/Code/mFSTSP/main.py,25, 2024-09-13 14:16:04, 4925.288485, -1.000000, 7.935938, False, 15, 10, 1349.999971, 4715.742282 
20170606T123246328134, 101, 30.000000, 2, mFSTSP Heuristic, 4, -1, True, True, 5, 1, /Users/raven/Documents/TU/MSc/Thesis/Code/mFSTSP/main.py,25, 2024-09-13 14:16:06, 4925.288485, -1.000000, 10.592129, False, 15, 10, 1349.999971, 4715.742282 
20170606T123921635977, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, /Users/raven/Documents/TU/MSc/Thesis/Code/mFSTSP/main.py,50, 2024-09-13 14:16:09, 8923.930179, -1.000000, 16.060549, False, 16, 34, 1693.603112, 957.206612 
20170606T123921635977, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, /Users/raven/Documents/TU/MSc/Thesis/Code/mFSTSP/main.py,50, 2024-09-13 14:16:14, 8923.930179, -1.000000, 21.389557, False, 16, 34, 1693.603112, 957.206612 
20170608T121747991951, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:27:55, 5248.898407, -1.000000, 0.029189, False, 4, 6, 360.000000, 2113.969449 
20170608T121747991951, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:27:55, 4474.002997, -1.000000, 0.035829, False, 5, 5, 450.000000, 2357.263416 
20170608T121747991951, 101, 30.000000, 2, mFSTSP Heuristic, 3, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:27:55, 4474.002997, -1.000000, 0.035037, False, 5, 5, 450.000000, 2294.828254 
